# Truth table
# Generated from circuit main
# Exported on Fri Nov 29 07:31:41 MSK 2024

# Hints and Notes on Formatting:
# * You can edit this file then import it back into Logisim!
# * Anything after a '#' is a comment and will be ignored.
# * Blank lines and separator lines (e.g., ~~~~~~) are ignored.
# * Keep column names simple (no spaces, punctuation, etc.)
# * 'Name[N..0]' indicates an N+1 bit variable, whereas
#   'Name' by itself indicates a 1-bit variable.
# * You can use 'x' or '-' to indicate "don't care" for both
#   input and output bits.
# * You can use binary (e.g., '10100011xxxx') notation or
#   or hex (e.g., 'C3x'). Logisim will figure out which is which.

ALUOp1 ALUOp0 F5 F4 F3 F2 F1 F0 | Op3 Op2 Op1 Op0
~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
0 0 1 0 0 0 0 0 | 0 0 1 0
0 0 1 0 0 0 0 1 | 0 0 1 0
0 0 1 0 0 0 1 0 | 0 0 1 0
0 0 1 0 0 0 1 1 | 0 0 1 0
0 0 1 0 0 1 0 0 | 0 0 1 0
0 0 1 0 0 1 0 1 | 0 0 1 0
0 0 1 0 0 1 1 0 | 0 0 1 0
0 0 1 0 0 1 1 1 | 0 0 1 0
0 0 1 0 1 0 0 0 | 0 0 1 0
0 0 1 0 1 0 0 1 | 0 0 1 0
0 0 1 0 1 0 1 0 | 0 0 1 0
0 0 1 0 1 0 1 1 | 0 0 1 0
0 0 1 0 1 1 0 0 | 0 0 1 0
0 0 1 0 1 1 0 1 | 0 0 1 0
0 0 1 0 1 1 1 0 | 0 0 1 0
0 0 1 0 1 1 1 1 | 0 0 1 0
0 1 1 0 0 0 0 0 | 0 1 1 0
0 1 1 0 0 0 0 1 | 0 1 1 0
0 1 1 0 0 0 1 0 | 0 1 1 0
0 1 1 0 0 0 1 1 | 0 1 1 0
0 1 1 0 0 1 0 0 | 0 1 1 0
0 1 1 0 0 1 0 1 | 0 1 1 0
0 1 1 0 0 1 1 0 | 0 1 1 0
0 1 1 0 0 1 1 1 | 0 1 1 0
0 1 1 0 1 0 0 0 | 0 1 1 0
0 1 1 0 1 0 0 1 | 0 1 1 0
0 1 1 0 1 0 1 0 | 0 1 1 0
0 1 1 0 1 0 1 1 | 0 1 1 0
0 1 1 0 1 1 0 0 | 0 1 1 0
0 1 1 0 1 1 0 1 | 0 1 1 0
0 1 1 0 1 1 1 0 | 0 1 1 0
0 1 1 0 1 1 1 1 | 0 1 1 0
1 0 1 0 0 0 0 0 | 0 0 1 0
1 0 1 0 0 0 1 0 | 0 1 1 0
1 0 1 0 0 1 0 0 | 0 0 0 0
1 0 1 0 0 1 0 1 | 0 0 0 1
1 0 1 0 1 0 1 0 | 0 1 1 1
1 1 0 0 0 0 0 0 | 0 0 0 0
1 1 0 0 0 0 0 1 | 0 0 0 0
1 1 0 0 0 0 1 0 | 0 0 0 0
1 1 0 0 0 0 1 1 | 0 0 0 0
1 1 0 0 0 1 0 0 | 0 0 0 0
1 1 0 0 0 1 0 1 | 0 0 0 0
1 1 0 0 0 1 1 0 | 0 0 0 0
1 1 0 0 0 1 1 1 | 0 0 0 0
1 1 0 0 1 0 0 0 | 0 0 0 0
1 1 0 0 1 0 0 1 | 0 0 0 0
1 1 0 0 1 0 1 0 | 0 0 0 0
1 1 0 0 1 0 1 1 | 0 0 0 0
1 1 0 0 1 1 0 0 | 0 0 0 0
1 1 0 0 1 1 0 1 | 0 0 0 0
1 1 0 0 1 1 1 0 | 0 0 0 0
1 1 0 0 1 1 1 1 | 0 0 0 0
1 1 0 1 0 0 0 0 | 0 0 0 0
1 1 0 1 0 0 0 1 | 0 0 0 0
1 1 0 1 0 0 1 0 | 0 0 0 0
1 1 0 1 0 0 1 1 | 0 0 0 0
1 1 0 1 0 1 0 0 | 0 0 0 0
1 1 0 1 0 1 0 1 | 0 0 0 0
1 1 0 1 0 1 1 0 | 0 0 0 0
1 1 0 1 0 1 1 1 | 0 0 0 0
1 1 0 1 1 0 0 0 | 0 0 0 0
1 1 0 1 1 0 0 1 | 0 0 0 0
1 1 0 1 1 0 1 0 | 0 0 0 0
1 1 0 1 1 0 1 1 | 0 0 0 0
1 1 0 1 1 1 0 0 | 0 0 0 0
1 1 0 1 1 1 0 1 | 0 0 0 0
1 1 0 1 1 1 1 0 | 0 0 0 0
1 1 0 1 1 1 1 1 | 0 0 0 0
1 1 1 0 0 0 0 0 | 0 0 0 0
1 1 1 0 0 0 0 1 | 0 0 0 0
1 1 1 0 0 0 1 0 | 0 0 0 0
1 1 1 0 0 0 1 1 | 0 0 0 0
1 1 1 0 0 1 0 0 | 0 0 0 0
1 1 1 0 0 1 0 1 | 0 0 0 0
1 1 1 0 0 1 1 0 | 0 0 0 0
1 1 1 0 0 1 1 1 | 0 0 0 0
1 1 1 0 1 0 0 0 | 0 0 0 0
1 1 1 0 1 0 0 1 | 0 0 0 0
1 1 1 0 1 0 1 0 | 0 0 0 0
1 1 1 0 1 0 1 1 | 0 0 0 0
1 1 1 0 1 1 0 0 | 0 0 0 0
1 1 1 0 1 1 0 1 | 0 0 0 0
1 1 1 0 1 1 1 0 | 0 0 0 0
1 1 1 0 1 1 1 1 | 0 0 0 0
1 1 1 1 0 0 0 0 | 0 0 0 0
1 1 1 1 0 0 0 1 | 0 0 0 0
1 1 1 1 0 0 1 0 | 0 0 0 0
1 1 1 1 0 0 1 1 | 0 0 0 0
1 1 1 1 0 1 0 0 | 0 0 0 0
1 1 1 1 0 1 0 1 | 0 0 0 0
1 1 1 1 0 1 1 0 | 0 0 0 0
1 1 1 1 0 1 1 1 | 0 0 0 0
1 1 1 1 1 0 0 0 | 0 0 0 0
1 1 1 1 1 0 0 1 | 0 0 0 0
1 1 1 1 1 0 1 0 | 0 0 0 0
1 1 1 1 1 0 1 1 | 0 0 0 0
1 1 1 1 1 1 0 0 | 0 0 0 0
1 1 1 1 1 1 0 1 | 0 0 0 0
1 1 1 1 1 1 1 0 | 0 0 0 0
1 1 1 1 1 1 1 1 | 0 0 0 0
